Sl. No.,Rabi Crop-wise,2022-23 - Cost,2022-23 - MSP,2022-23 - Difference (MSP-Cost),2023-24 - Cost,2023-24 - MSP,2023-24 - Difference (MSP-Cost),2024-25 - Cost,2024-25 - MSP,2024-25 - Difference (MSP-Cost),2025-26 - Cost,2025-26 - MSP,2025-26 - Difference (MSP-Cost)
1,Wheat,1008,2015,1007,1065,2125,1060,1128,2275,1147,1182,2425,1243
2,Barley,1019,1635,616,1082,1735,653,1158,1850,692,1239,1980,741
3,Gram,3004,5230,2226,3206,5335,2129,3400,5440,2040,3527,5650,2123
4,Masur (Lentil),3079,5500,2421,3239,6000,2761,3405,6425,3020,3537,6700,3163
5,Rapeseed/Mustard,2523,5050,2527,2670,5450,2780,2855,5650,2795,3011,5950,2939
6,Safflower,3627,5441,1814,3765,5650,1885,3807,5800,1993,3960,5940,1980
